TAIL,DAY_TO_GO,EQP,SUBFLEET,CHECK_MH,SCHED_DATE,STATION_NAME,DESCR,CHECK_SEQ
T121,4,321,321E,120,11/6/2023,STA_6,CKC | A04 | ARBS | LEAP A-CHECK 4,A04
T142,10,321,321E,120,11/6/2023,STA_5,CKC | A09 | ARBS | LEAP A-CHECK 9,A09
T189,1,321,321K,92,11/6/2023,STA_13,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T192,10,321,321K,120,11/6/2023,STA_15,CKC | A05 | ARBS | V2500 A-CHECK 5,A05
T225,8,320,H205,120,11/6/2023,STA_12,CKC | A07 | ARBS | V2500 A-CHECK 7,A07
T231,11,320,H205,92,11/6/2023,STA_3,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T256,5,319,319W,120,11/6/2023,STA_16,CKC | A10 | ARBS | CFM A-CHECK 10,A10
T317,14,321,321T,92,11/6/2023,STA_6,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T578,9,737,738K,96,11/6/2023,STA_4,CKC | A019 | 737NG | A019CHECK,A019
T604,10,737,738K,96,11/6/2023,STA_7,CKC | A018 | 737NG | A018CHECK,A018
T636,12,737,738K,96,11/6/2023,STA_14,CKC | A019 | 737NG | A019CHECK,A019
T767,11,737,738M,96,11/6/2023,STA_10,CKC | A012 | 737MAX8 A012CHECK,A012
T085,7,321,321K,120,11/6/2023,STA_8,CKC | A05 | ARBS | CFM A-CHECK 5,A05
T015,13,319,319S,92,11/7/2023,STA_9,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T160,5,321,321E,120,11/7/2023,STA_6,CKC | A05 | ARBS | LEAP A-CHECK 5,A05
T211,4,321,321K,92,11/7/2023,STA_6,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T213,20,321,321K,92,11/7/2023,STA_12,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T219,26,320,H205,92,11/7/2023,STA_3,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T350,12,319,H319,120,11/7/2023,STA_16,CKC | A04 | ARBS | V2500 A-CHECK 4,A04
T416,10,321,321R,120,11/7/2023,STA_8,CKC | A04 | ARBS | V2500 A-CHECK 4,A04
T497,13,737,738K,96,11/7/2023,STA_10,CKC | A018 | 737NG | A018CHECK,A018
T505,10,737,738K,96,11/7/2023,STA_7,CKC | A018 | 737NG | A018CHECK,A018
T557,9,737,738K,96,11/7/2023,STA_14,CKC | A018 | 737NG | A018CHECK,A018
T056,7,321,321K,92,11/7/2023,STA_5,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T792,5,737,738M,96,11/7/2023,STA_4,CKC | A018 | 737MAX8 A018CHECK,A018
T083,8,321,321K,92,11/7/2023,STA_13,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T116,23,321,321E,92,11/8/2023,STA_6,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T117,21,321,321E,92,11/8/2023,STA_12,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T125,10,321,321E,120,11/8/2023,STA_5,CKC | A03 | ARBS | LEAP A-CHECK 3,A03
T191,4,321,321K,92,11/8/2023,STA_6,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T022,17,319,319S,92,11/8/2023,STA_9,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T269,14,319,319W,120,11/8/2023,STA_16,CKC | A03 | ARBS | CFM A-CHECK 3,A03
T277,10,319,H319,120,11/8/2023,STA_3,CKC | A02 | ARBS | CFM A-CHECK 2,A02
T362,21,321,321R,92,11/8/2023,STA_13,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T419,9,321,321K,120,11/8/2023,STA_8,CKC | A07 | ARBS | V2500 A-CHECK 7,A07
T529,7,737,738K,96,11/8/2023,STA_4,CKC | A018 | 737NG | A018CHECK,A018
T533,9,737,738K,96,11/8/2023,STA_14,CKC | A018 | 737NG | A018CHECK,A018
T546,19,737,738K,96,11/8/2023,STA_7,CKC | A018 | 737NG | A018CHECK,A018
T637,19,737,738K,96,11/8/2023,STA_10,CKC | A019 | 737NG | A019CHECK,A019
T107,9,321,321E,92,11/9/2023,STA_5,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T126,13,321,321E,120,11/9/2023,STA_12,CKC | A02 | ARBS | LEAP A-CHECK 2,A02
T143,18,321,321E,92,11/9/2023,STA_3,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T015,9,319,319S,120,11/9/2023,STA_9,CKC | A04 | ARBS | CFM A-CHECK 4,A04
T211,4,321,321K,92,11/9/2023,STA_12,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T254,13,319,319W,120,11/9/2023,STA_16,CKC | A10 | ARBS | CFM A-CHECK 10,A10
T380,11,321,321R,120,11/9/2023,STA_8,CKC | A04 | ARBS | V2500 A-CHECK 4,A04
T394,16,321,321R,92,11/9/2023,STA_6,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T394,16,321,321R,92,11/9/2023,STA_6,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T422,16,321,321K,120,11/9/2023,STA_15,CKC | A06 | ARBS | V2500 A-CHECK 6,A06
T666,20,737,738K,96,11/9/2023,STA_10,CKC | A019 | 737NG | A019CHECK,A019
T680,16,737,738K,96,11/9/2023,STA_7,CKC | A018 | 737NG | A018CHECK,A018
T757,11,737,738R,96,11/9/2023,STA_14,CKC | A019 | 737NG | A019CHECK,A019
T804,9,737,738M,96,11/9/2023,STA_4,CKC | A012 | 737MAX8 A012CHECK,A012
T083,10,321,321K,92,11/9/2023,STA_13,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T115,12,321,321E,120,11/10/2023,STA_12,CKC | A04 | ARBS | LEAP A-CHECK 4,A04
T135,12,321,321E,120,11/10/2023,STA_5,CKC | A11 | ARBS | LEAP A-CHECK 11,A11
T015,15,319,319S,92,11/10/2023,STA_9,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T212,28,321,321K,92,11/10/2023,STA_11,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T237,12,320,H205,92,11/10/2023,STA_12,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T251,12,319,319W,120,11/10/2023,STA_16,CKC | A12 | ARBS | CFM A-CHECK 12,A12
T279,688,319,H319,92,11/10/2023,ZZL,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T279,690,319,H319,92,11/10/2023,ZZL,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T279,660,319,H319,92,11/10/2023,ZZL,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T279,233,319,H319,92,11/10/2023,ZZL,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T279,660,319,H319,92,11/10/2023,ZZL,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T279,235,319,H319,92,11/10/2023,ZZL,CKC | C07 | A320 SERIES C7 PHASE CHECK,C07
T279,692,319,H319,92,11/10/2023,ZZL,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T279,681,319,H319,92,11/10/2023,ZZL,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T279,227,319,H319,92,11/10/2023,ZZL,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T279,230,319,H319,92,11/10/2023,ZZL,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T340,10,319,H319,120,11/10/2023,STA_3,CKC | A05 | ARBS | V2500 A-CHECK 5,A05
T395,13,321,321R,92,11/10/2023,STA_6,CKC | C01 | A320 SERIES C1 PHASE CHECK,C01
T395,13,321,321R,92,11/10/2023,STA_6,CKC | C02 | A320 SERIES C2 PHASE CHECK,C02
T400,12,321,321R,120,11/10/2023,STA_8,CKC | A09 | ARBS | V2500 A-CHECK 9,A09
T453,15,321,321K,92,11/10/2023,STA_13,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T472,15,737,738K,96,11/10/2023,STA_14,CKC | A018 | 737NG | A018CHECK,A018
T543,23,737,738K,96,11/10/2023,STA_10,CKC | A018 | 737NG | A018CHECK,A018
T056,10,321,321K,120,11/10/2023,STA_15,CKC | A01 | ARBS | CFM A-CHECK 1,A01
T703,15,737,738R,96,11/10/2023,STA_7,CKC | A019 | 737NG | A019CHECK,A019
T787,13,737,738M,96,11/10/2023,STA_4,CKC | A018 | 737MAX8 A018CHECK,A018
T114,13,321,321E,120,11/11/2023,STA_12,CKC | A05 | ARBS | LEAP A-CHECK 5,A05
T116,13,321,321E,120,11/11/2023,STA_5,CKC | A04 | ARBS | LEAP A-CHECK 4,A04
T017,29,319,319S,92,11/11/2023,STA_9,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T222,24,320,H205,92,11/11/2023,STA_12,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T231,9,320,H205,92,11/11/2023,STA_3,CKC | C05 | A320 SERIES C5 PHASE CHECK,C05
T237,12,320,H205,92,11/11/2023,STA_12,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T266,26,319,319W,92,11/11/2023,STA_16,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
T307,12,321,321T,120,11/11/2023,STA_6,CKC | A02 | ARBS | V2500 A-CHECK 2,A02
T317,14,321,321T,92,11/11/2023,STA_6,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T362,21,321,321R,92,11/11/2023,STA_11,CKC | C09 | A320 SERIES C9 PHASE CHECK,C09
T394,16,321,321R,92,11/11/2023,STA_13,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T395,15,321,321R,120,11/11/2023,STA_8,CKC | A11 | ARBS | V2500 A-CHECK 11,A11
T519,14,737,738K,96,11/11/2023,STA_4,CKC | A019 | 737NG | A019CHECK,A019
T585,16,737,738K,96,11/11/2023,STA_7,CKC | A018 | 737NG | A018CHECK,A018
T735,16,737,738R,96,11/11/2023,STA_14,CKC | A019 | 737NG | A019CHECK,A019
T798,8,737,738M,96,11/11/2023,STA_10,CKC | A018 | 737MAX8 A018CHECK,A018
T096,12,321,321K,120,11/11/2023,STA_15,CKC | A02 | ARBS | CFM A-CHECK 2,A02
T103,14,321,321E,120,11/12/2023,STA_12,CKC | A08 | ARBS | LEAP A-CHECK 8,A08
T112,11,321,321E,92,11/12/2023,STA_12,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T120,14,321,321E,120,11/12/2023,STA_5,CKC | A03 | ARBS | LEAP A-CHECK 3,A03
T143,18,321,321E,92,11/12/2023,STA_3,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T274,16,319,H319,120,11/12/2023,STA_15,CKC | A12 | ARBS | CFM A-CHECK 12,A12
T028,380,319,319S,92,11/12/2023,STA_9,CKC | C04 | A320 SERIES C4 PHASE CHECK,C04
T318,18,321,321T,120,11/12/2023,STA_6,CKC | A04 | ARBS | V2500 A-CHECK 4,A04
T351,25,319,H319,92,11/12/2023,STA_16,CKC | C08 | A320 SERIES C8 PHASE CHECK,C08
T354,13,319,H319,92,11/12/2023,STA_6,CKC | C06 | A320 SERIES C6 PHASE CHECK,C06
T366,49,321,321R,92,11/12/2023,STA_11,CKC | C10 | A320 SERIES C10 PHASE CHECK,C10
T395,13,321,321R,92,11/12/2023,STA_13,CKC | C03 | A320 SERIES C3 PHASE CHECK,C03
